"","wikidata_name","wikidata_id","parent_name","parent_id","parent_icb","parent_imi","parent_mids","parent_mip","parent_mips","parent_rand"
"55","Operation Southern Focus","Q2739563","Gulf War","Q37643","GULF WAR","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","Operation Southern Watch","Operation Southern Watch"
"56","Operation Vigilant Warrior","Q1838811","Gulf War","Q37643","IRAQ DEPLOY./KUWAIT","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","3568","Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort/ Provide Comfort II/ Operation Northern Watch","Operation Southern Watch","Operation Southern Watch"
"57","Battle of 73 Easting","Q1402530","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"58","Battle of Ad-Dawrah","Q4870215","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"59","Battle of Khafji","Q718770","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"60","Battle of Kuwait International Airport","Q19428991","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"61","Battle of Norfolk","Q3636553","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"62","Battle of Qurah and Umm al Maradim","Q4872147","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"63","Battle of Wadi Al-Batin","Q3636251","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"64","Operation Senior Surprise","Q85790978","Gulf War","Q37643","GULF WAR","c(""US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)"", ""US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)"", ""US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)"")","c(""3957"", ""3973"", ""3974"")","Operation Desert Shield","c(""Desert Shield"", ""Desert Storm"")","c(""Operation Desert Storm"", ""Task Force Freedom"")"
"65","Operation Unified Protector","Q3269455","Libyan Crisis","Q18702324","LIBYAN CIVILWAR",NA,NA,NA,NA,"Operation Odyssey Dawn"
"66","2016 Sirte offensive","Q24467647","Libyan Crisis","Q18702324",NA,NA,NA,NA,NA,NA
"67","Operation Infinite Reach","Q837887","Operation Infinite Reach","Q837887",NA,"c(""US carries out air strikes against suspected terrorist facilities in Sudan (TNS, PI)"", ""US uses cruise missiles to attack suspected terrorist facilities (Xinh, IP, DP)"")","c(""4217"", ""4227"")","c(""Operation Infinite Reach"", ""Operation Infinite Reach"")",NA,"Operation Infinite Reach"
"68","Operation Infinite Reach","Q837887","cruise missile strikes on Afghanistan and Sudan","Q837887",NA,"c(""US carries out air strikes against suspected terrorist facilities in Sudan (TNS, PI)"", ""US uses cruise missiles to attack suspected terrorist facilities (Xinh, IP, DP)"")","c(""4217"", ""4227"")","c(""Operation Infinite Reach"", ""Operation Infinite Reach"")",NA,"Operation Infinite Reach"
"69","U.S. raid on the Iranian Liaison Office in Arbil","Q7863480","U.S. raid on the Iranian Liaison Office in Arbil","Q7863480",NA,NA,"4535","Erbil Raid",NA,NA
"70","2014 American raid in Libya","Q23022941","Operation Enduring Freedom – Trans Sahara","Q2602154",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Juniper Shield",NA,NA
"71","Al-Karmah offensive (2015)","Q19864219","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"72","Anbar campaign (2015–16)","Q22935666","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"73","2017 Mosul airstrike","Q29524697","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"74","Western Nineveh offensive (2017)","Q30014900","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"75","Hawija offensive (2017)","Q40532579","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"76","Mosul offensive (2016)","Q23540783","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"77","November 2015 Sinjar offensive","Q21472342","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"78","Salahuddin campaign","Q19574810","American-led intervention in Iraq (2014–present)","Q18159629",NA,"US pursues Taliban insurgents into Pakistan (AFP)","c(""4524"", ""4527"", ""4568"", ""4571"", ""4577"", ""4397"", ""4540"", ""4581"", ""4543"", ""4598"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"79","Battle of Al Faw (2003)","Q1930510","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"80","Battle of Baghdad (2003)","Q1804983","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"81","Battle of Basra (2003)","Q2585300","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"82","Battle of Debecka Pass","Q4870854","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"83","Battle of Haditha Dam","Q40889886","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"84","Battle of Samawah (2003)","Q4872256","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"85","Operation Airborne Dragon","Q7096734","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"86","Operation Plymouth Rock","Q2026278","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"87","Operation Viking Hammer","Q1678616","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"88","2003 Mosul raid","Q65074171","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"89","2008 Abu Kamal raid","Q553332","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"90","Battle of Al-Qa'im","Q1975663","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"91","Battle of Haifa Street","Q4871175","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"92","Battle of Najaf (2004)","Q2889462","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"93","Battle of Ramadi (2006)","Q2889747","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"94","Battle of Samarra (2004)","Q4087318","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"95","Battle of Tal Afar (2005)","Q972831","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"96","Battle of the Palm Grove","Q4872982","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"97","Battle of Turki","Q4872608","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"98","Battle of Baqubah","Q2237337","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"99","Operation Augurs of Prosperity","Q3354646","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"100","Operation Spear","Q7097569","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"101","Operation Squeeze Play","Q7097575","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
"102","Operation Swarmer","Q477040","Iraq conflict (2003–present)","Q47015896","IRAQ REGIME CHANGE","US topples Iraqi government (DP, AFX, CNN)","c(""4512"", ""4516"", ""4518"", ""4519"", ""4538"")","Operation Inherent Resolve",NA,"Anti-ISIL Air Strikes in Libya"
